id,Section,Title,N,Kimberling Centers,Year,Video1,Video2,sound,Video3
20,Brocard,Brocard Porism: equilateral Isodynamic Pedals have invariant area ratio + circular centroidal locus,3,"3,6,15,16,39,182",2020,https://youtu.be/s4DF-iZZO8Y,,T,
21,Brocard,Brocard Porism: Family of Second Brocard Triangles is a second Brocard Porism,3,"3,6,15,39,182,39498",2020,https://youtu.be/MprJtB4UW9s,,T,
22,Brocard,"Brocard Porism: Locus of 1st, 2nd, 5th, and 7th Brocard Triangles' Vertices are Circles",3,"3,6,39,182,9821",2020,https://youtu.be/_bK-BCQv24A,,T,
23,Brocard,Continuous Family of Brocard Porisms with Stationary Isodynamic Points X15 and X16,3,"3,6,15,182",2020,https://youtu.be/jY_8zxBljuk,,T,
24,Brocard,"It takes 2 to tango: Brocard-Poncelet Porism, stationary Brocard Points and invariant Brocard Angle",3,"3,6,39,182",2020,https://youtu.be/JANPPLET0so,,T,
25,Brocard,"Joined at the hip: Brocard Porism, Steiner Ellipses, and the Homothetic Poncelet Pair",3,"2,3,6,182",2020,https://youtu.be/h3GZz7pcJp0,,T,
26,Brocard,Poncelet 3-Periodics of Homothetic Pair: Elliptic Loci of Brocard Pts + Vertices of 1st Brocard Tri,3,2,2020,https://youtu.be/13i3JGY-fK4,,T,
27,Brocard,Rusian-doll nesting of Brocard porisms: concyclic sequence of Brocard points and the Beltrami points,3,"6,39,182",2020,https://youtu.be/Z3YlEbCFbnA,,T,
28,Brocard,Russian-Doll nesting of Brocard porisms courtesy of the second Brocard triangle,3,"6,39,182",2020,https://youtu.be/T7c4CDHIk7s,,T,
29,Brocard,The Family of Second Brocard Triangles in the Brocard Porism,3,"3,6,15,39,182",2020,https://youtu.be/Wgwh4-neJp4,,T,
30,Brocard,The Poncelet Homothetic Pair contains an Aspect-Ratio Invariant Brocard Inellipse,3,"2,39",2020,https://youtu.be/DIm2qTxGWXE,,T,
31,Brocard,Invariants of the Generalized Brocard Porism,"3,4,5,6,7",--,2021,https://youtu.be/UYI_lBubKXA,,T,
32,Cayley-Poncelet,Area Invariants of Poncelet N-Periodics and their Polar Polygons,"3,4,5,6,7,8",--,2021,https://youtu.be/2TgmJ-YHydQ,,T,
33,Cayley-Poncelet,Cayley-Poncelet Phenomena I: Finding an Ellipse Pair in General Position which admits 3-Periodics,3,--,2021,https://youtu.be/virCpDtEvJU,,T,
34,Cayley-Poncelet,Cayley-Poncelet Phenomena II: Invariant Power of Center wrt Circumrcircle and Euler's Circle,3,"3,5",2021,https://youtu.be/4xsm_hQU-dE,,T,
35,Convex Combinations,"Barycenter with Median, and Incenter with Intouchpoint",3,"1,2",2019,https://youtu.be/3Gr3Nh5-jHs,,,
36,Convex Combinations,Excenter and its corresponding Extouch point,3,--,2019,https://youtu.be/OD8Ah0hf8yQ,,,
37,Convex Combinations,"Orthocenter with one altitude foot, and Circumcenter with median",3,"3,4",2019,https://youtu.be/HZFjkWD_CnE,,,
38,Cross-Ratio Invariants,"Poncelet Cross-Ratio Invariants I: exploring N=5,6,7,8","5,6,7,8",--,2021,https://youtu.be/vgHoLM5pg6o,,T,
39,Cross-Ratio Invariants,Poncelet Cross-Ratio Invariants II: 3 diagonals in the N=5 case,5,--,2021,https://youtu.be/XqpYVrXbK5s,,T,
40,Cross-Ratio Invariants,Poncelet Cross-Ratio Invariants III: 3 diagonals in the N=5 self-intersected case,5,--,2021,https://youtu.be/4bd0YhQZMPM,,T,
